case,run,VB,time,DOC,feed,material,cut_no,tool_class,window_start,window_end
1,1,0,2,1.5,0.5,1,0,0,2496,6976
1,2,,4,1.5,0.5,1,1,0,2496,6976
1,3,,6,1.5,0.5,1,2,0,2496,6976
1,4,0.11,7,1.5,0.5,1,3,0,2496,6976
1,5,,11,1.5,0.5,1,4,0,2496,6976
1,6,0.2,15,1.5,0.5,1,5,1,2496,6976
1,7,0.24,19,1.5,0.5,1,6,1,2496,6976
1,8,0.29,22,1.5,0.5,1,7,1,2496,6976
1,9,0.28,26,1.5,0.5,1,8,1,2496,6976
1,10,0.29,29,1.5,0.5,1,9,1,2496,6976
1,11,0.38,32,1.5,0.5,1,10,1,2496,6976
1,12,0.4,35,1.5,0.5,1,11,1,2496,6976
1,13,0.43,38,1.5,0.5,1,12,1,2496,6976
1,14,0.45,41,1.5,0.5,1,13,1,2496,6976
1,15,0.5,44,1.5,0.5,1,14,1,2496,6976
1,16,,46,1.5,0.5,1,15,1,2496,6976
1,17,0.44,48,1.5,0.5,1,16,1,2496,6976
2,1,0.08,3,0.75,0.5,1,17,0,64,128
2,2,0.14,9,0.75,0.5,1,18,0,2496,6976
2,3,0.14,12,0.75,0.5,1,19,0,2496,6976
2,4,0.14,15,0.75,0.5,1,20,0,2496,6976
2,5,0.15,22,0.75,0.5,1,21,0,4224,6976
2,6,,24,0.75,0.5,1,22,0,5056,6976
2,7,0.18,27,0.75,0.5,1,23,0,2496,6976
2,8,0.22,33,0.75,0.5,1,24,1,2496,6976
2,9,0.26,39,0.75,0.5,1,25,1,2496,6976
2,10,0.31,45,0.75,0.5,1,26,1,3520,8000
2,11,0.38,51,0.75,0.5,1,27,1,2496,6976
2,12,0.43,59,0.75,0.5,1,28,1,2496,6976
2,13,0.48,66,0.75,0.5,1,29,1,2496,6976
2,14,0.55,72,0.75,0.5,1,30,1,3520,8000
3,1,0,0,0.75,0.25,1,31,0,4480,8960
3,2,0.13,3,0.75,0.25,1,32,0,4480,8960
3,3,0.13,9,0.75,0.25,1,33,0,4480,8960
3,5,0.17,21,0.75,0.25,1,34,0,4480,8960
3,6,0.19,27,0.75,0.25,1,35,0,3520,8960
3,7,0.2,33,0.75,0.25,1,36,1,3520,8960
3,8,0.23,39,0.75,0.25,1,37,1,3520,8960
3,9,0.23,45,0.75,0.25,1,38,1,4480,8960
3,10,0.26,51,0.75,0.25,1,39,1,3520,8960
3,11,0.28,57,0.75,0.25,1,40,1,4160,8960
3,12,0.33,63,0.75,0.25,1,41,1,4160,8960
3,14,0.36,69,0.75,0.25,1,42,1,4480,8960
3,15,0.44,75,0.75,0.25,1,43,1,4480,8960
3,16,0.55,81,0.75,0.25,1,44,1,4480,8960
4,1,0.08,3,1.5,0.25,1,45,0,4480,8960
